3/27/2017 23:40:49 Experiment Starting!
3/27/2017 23:41:06 OZxA4RtA91KEfI8RAAAA connected
3/27/2017 23:41:12 M48XMuiA219WhgRNAAAB connected
drawer: 2   guesser: 1

3/27/2017 23:41:42 Round 1 Starting
Group 1 word = firefighter,fireman, firewoman
Group 2 word = koala,koala bear
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (81,135)
2  (-1,-1)
2  (-1,-1)
2  (55,166)
2  (65,68)
2  (205,110)
2  (137,220)
2  (163,157)
2  (214,180)
2  (265,172)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
2  (-1,-1)
3/27/2017 23:41:59  1 guesses firefighter
3/27/2017 23:42:09 1 disconnected
3/27/2017 23:42:10 2 disconnected
